Chain,Label,Gauge Address,Allocation %,Unnamed: 4,snapshot_label,snapshot_index,share
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity,ComposableStable USDC-DAI-USDT/sDAI,96,10.0
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,12.00%,,ComposableStable USDT/USDC/GHO,99,12.0
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,5.00%,,a-ComposableStable sFRAX/4POOL-BPT,186,5.0
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.00%,,a-Gyro waUSDCn/USDC,208,2.0
Optimsim,ECLP-waUSDC-waUSDT,0x1a8F7747cA103d229d7bDFF5f89c176b95Faf301,4.00%,,o-Gyroe waUSDT/waUSDCn,278,4.0
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,4.00%,37.00%,a-Gyroe waUSDCn/waUSDT,218,4.0
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,7.21%,Revenue ,50/50 wstETH/ACX,30,7.21
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,7.95%,45.00%,ComposableStable wstETH/WETH,121,7.95
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,11.82%,,MetaStable WETH/rETH,147,11.82
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,3.81%,,ComposableStable rETH/weETH,87,3.81
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,6.43%,,ComposableStable WETH/ezETH,107,6.43
Mainnet,sdeUSD/deUSD,0xA00DB7d9c465e95e4AA814A9340B9A161364470a ,4.12%,,Gyroe deUSD/sdeUSD,125,4.12
Mainnet,STG/USDC,0x15C84754c7445D0DF6c613f1490cA07654347c1B,3.66%,45%,50/50 STG/USDC,24,3.66
Mainnet,tETH/wstETH,0xf697535848B535900c76f70F1e36EC3985D27862 ,3.00%,,ComposableStable wstETH/tETH,118,3.0
Mainnet,cbETH/wstETH,0x655A2B240151b4fAb06dfb2B6329eF72647F89dd ,5.00%,,Gyroe wstETH/cbETH (0x65),144,5.0
Arbitrum,GHO / USDL,0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,3.00%,,a-ComposableStable wUSDL/GHO,207,3.0
Base,cbETH/wstETH,0xBDc908e5dF4A95909DD8cbdD5E88C4078a85f7fC,7.00%,,b-Gyroe cbETH/wstETH,323,7.0
