chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
optimism,874.6446,802.4335,72.2112,6.3185,29.7871,36.1056,17.50,82.50,50.00
avalanche,3884.6124,2442.5452,1442.0672,252.3618,1189.7055,0.0000,17.50,82.50,0.00
mainnet,32736.0909,26738.9322,5982.5523,1046.9467,4935.6056,0.0000,17.50,82.50,0.00
base,58193.9777,6720.4177,51417.9183,8998.1357,42419.7826,0.0000,17.50,82.50,0.00
arbitrum,6193.7933,5738.1202,455.6731,79.7428,375.9303,0.0000,17.50,82.50,0.00
gnosis,4645.1623,2155.1712,2489.9911,435.7484,2054.2427,0.0000,17.50,82.50,0.00
