target,amount,is_alliance,voting_pool_override,platform
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,410.3152,False,,
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,5412.219531988392996649989538,,,payment
0xea06e1b4259730724885a39CE3ca670eFB020E26,158.1395283744456854511256862,,,beets
