chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
gnosis,1394.0592,1086.8501,307.2090,53.7616,253.4474,17.50,82.50
arbitrum,3006.7070,1687.7914,1318.9156,230.8102,1088.1054,17.50,82.50
base,38597.3097,2780.8179,35816.4918,6267.8861,29548.6057,17.50,82.50
mainnet,16267.0178,11238.1115,5028.9064,880.0586,4148.8477,17.50,82.50
