pool_id,chain,alliance_member,amount,target,pool_type
0x870c0Af8A1af0B58b4b0bD31CE4fe72864ae45BE,optimism,Rocket Pool,24.78462620941748472112598673,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0x1ea5870f7C037930CE1d5d8d9317c670e89e13E3,mainnet,Rocket Pool,58.14451596898314739399898788,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Lido,156.2541678306841795746676296,0x87D93d9B2C672bf9c9642d853a8682546a5012B5,core
0x5418a64e0cdb20548ACB394f5D00a089BAf02161,arbitrum,Rocket Pool,17.57701561090227382226146350,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,base,Rocket Pool,30.45874472992201548910362549,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
