target,platform,amount,bribe_platform
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,balancer,1502.5224,stakedao
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,aura,2902.8252,paladin
0x9b237fA1958E3022464343137738926d38815801,balancer,269.9341,stakedao
0x9b237fA1958E3022464343137738926d38815801,aura,521.5040,paladin
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,balancer,479.1810,stakedao
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,aura,925.7623,paladin
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,balancer,349.1394,stakedao
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,aura,674.5261,paladin
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,payment,4046.912034886961218090510025,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,80.33120463648407112836839730,
