chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
gnosis,24545.3684,3635.8965,20909.4720,3659.1576,17250.3144,17.50,82.50
arbitrum,16560.7329,14612.7298,1948.0031,340.9005,1607.1025,17.50,82.50
avalanche,1018.7462,322.6181,696.1282,121.8224,574.3057,17.50,82.50
polygon,15708.7656,1600.5088,14108.2569,2468.9450,11639.3119,17.50,82.50
base,3768.8233,2582.2717,1186.5516,207.6465,978.9050,17.50,82.50
mainnet,81785.7728,43996.5106,37789.2622,6613.1209,31176.1413,17.50,82.50
