Chain,Label,Gauge Address,Allocation %,Unnamed: 4,Unnamed: 5,snapshot_label,snapshot_index,share
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,10.00%,,,Stable waEthUSDT/Aave Prime GHO/waEthUSDC,104,10.0
Mainnet,Lido wstETH wETH,0x4b891340b51889f438a03dc0e8aaafb0bc89e7a6,5.00%,,Last round,Stable waEthLidoWETH/waEthLidowstETH,101,5.0
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,7.00%,,,b-Stable waBasUSDC/waBasGHO,233,7.0
Arbitrum,sUSDX-USDX-aUSDT,0xeb312b0d7795743C3DE905bc09c0D62aA180A7a6,7.00%,,,a-Stable waArbUSDT/USDX/sUSDX,155,7.0
Base ,Aave GHO-USR,0xB1E8ec305b0b29097a117CaFC9721A553533E54C,5.00%,,,b-Stable waBasGHO/waBasEURC,232,5.0
Base,Aave GHO-EURC,0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,5.00%,,,b-Stable waBasGHO/USR,231,5.0
Arbitrum,orbETH-aWETH,0x2D1c51eaB8b3c2287BA26061c0e339DA3b15B955,15.00%,,weeks 3 & 4 of 6 weeks,a-Stable waArbWETH/orbETH,156,15.0
Mainnet,wstETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,7.00%,,1 more round aftert this one,ComposableStable WETH/ezETH,59,7.0
Mainnet,rETH-wETH,0x79ef6103a513951a3b25743db509e267685726b7 ,7.00%,14.00%,,MetaStable rETH/WETH,84,7.0
Base,Aave wETH-wstETH,0x0855e486EE80FF0EC7c913eC0588A7CBf2B8E89c,5.00%,,"Need arb TVL, Lido kicking can down the road on Base",b-Stable waBaswstETH/waBasWETH,234,5.0
Base,Aave ezETH-wstETH,0x86C44de72Ec88d205E63c2aF8D577659319C7a7f,5.00%,,,b-Stable waBasezETH/waBaswstETH,230,5.0
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,11.00%,,,a-Stable waArbwstETH/waArbWETH,158,11.0
Arbitrum,Aave ezETH-wstETH,0xCA318253Bb460e08ca33fD22574E7F70217130f5,11.00%,,,a-Stable waArbwstETH/waArbezETH,157,11.0
