chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
arbitrum,12973.5630,2785.6747,10187.8883,1782.8805,8405.0079,17.50,82.50
avalanche,17305.3373,5226.9971,12078.3402,2113.7095,9964.6306,17.50,82.50
gnosis,5372.6654,1926.1458,3446.5196,603.1409,2843.3787,17.50,82.50
base,16742.3454,4752.1892,11990.1562,2098.2773,9891.8789,17.50,82.50
mainnet,17707.1044,9694.4239,8012.6805,1402.2191,6610.4614,17.50,82.50
