chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
avalanche,4923.9557,4395.0930,528.8627,92.5510,436.3117,17.50,82.50
mainnet,11241.4624,11069.0597,172.4027,30.1705,142.2323,17.50,82.50
base,15674.1422,7800.4152,7873.7271,1377.9022,6495.8248,17.50,82.50
arbitrum,1142.9057,1780.9517,0.0000,0.0000,0.0000,17.50,82.50
gnosis,3389.0358,1903.3311,1485.7047,259.9983,1225.7064,17.50,82.50
