pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,redirected_incentives,last_join_exit,is_alliance,is_partner
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,6587.5514,823.4439,1152.8215,0.0000,5195.6965,584.4105,0,False,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,1875.7174,234.4647,328.2505,0.0000,1151.1547,166.4031,0,True,True
0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,mainnet,rETH-waEthWETH,0.0000,1110.8776,138.8597,194.4036,0.0000,876.1652,98.5508,0,False,False
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,503.0098,62.8762,88.0267,0.0000,0.0000,-352.1069,0,False,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,268.4605,33.5576,46.9806,0.0000,0.0000,-187.9224,0,False,False
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,0.0000,227.9219,28.4902,39.8863,0.0000,0.0000,-159.5453,0,False,False
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,0.0000,155.7821,19.4728,27.2619,0.0000,0.0000,-109.0474,0,False,False
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,0.0000,44.5587,5.5698,7.7978,0.0000,0.0000,-31.1911,0,False,False
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,0.0000,13.6448,1.7056,2.3878,0.0000,0.0000,-9.5513,0,False,False
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,342.6052,240.6801,101.9250,0.0000,0.0000,-239.8236,0,False,False
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,1784.1888,223.0236,312.2330,0.0000,1303.3001,54.3679,0,False,False
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,0.0000,77.6685,9.7086,13.5920,0.0000,0.0000,-54.3679,0,False,False
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,0.0000,2763.4785,345.4348,483.6087,0.0000,2006.9885,72.5535,0,False,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,621.7032,77.7129,108.7981,0.0000,451.5147,16.3224,0,False,False
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,0.0000,104.7639,13.0955,18.3337,0.0000,0.0000,-73.3347,0,False,False
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,22.2017,2.7752,3.8853,0.0000,0.0000,-15.5412,0,False,False
