chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
optimism,460.3597,365.9978,94.3620,8.2567,38.9243,47.1810,17.50,82.50,50.00
avalanche,8673.9833,3506.4377,5167.5456,904.3205,4263.2251,0.0000,17.50,82.50,0.00
mainnet,54224.3925,19468.3145,34752.7801,6081.7365,28671.0436,0.0000,17.50,82.50,0.00
base,69127.5424,6808.4957,62319.0467,10905.8332,51413.2136,0.0000,17.50,82.50,0.00
arbitrum,11839.4236,5974.7161,5864.7075,1026.3238,4838.3837,0.0000,17.50,82.50,0.00
gnosis,6249.0871,2822.3650,3426.7221,599.6764,2827.0457,0.0000,17.50,82.50,0.00
plasma,265252.3931,0,265252.3931,46419.1688,218833.2243,0.0000,17.50,82.50,0.00
