Chain,Label,Gauge Address,Allocation %,Unnamed: 4,Unnamed: 5,snapshot_label,snapshot_index,share
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity,,ComposableStable USDC-DAI-USDT/sDAI,93,10.0
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,10.00%,,,ComposableStable USDT/USDC/GHO,96,10.0
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,7.50%,,,a-ComposableStable sFRAX/4POOL-BPT,173,7.5
Arbitrum,4Pool,0xbb1a15dfd849bc5a6f33c002999c8953afa626ad,5.00%,,,a-ComposableStable USDT/DAI/USDC/USDC.e,186,5.0
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.30%,,,a-Gyro AaveUSDCn/USDC,192,2.3
Arbitrum,aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,2.30%,,,a-Gyro AaveUSDT/USDT,193,2.3
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,5.40%,42.50%,,a-Gyroe AaveUSDCn/AaveUSDT,194,5.4
Mainnet,wstETH-ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,4.09%,Revenue ,,50/50 wstETH/ACX,30,4.09
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,5.44%,32.50%,,ComposableStable wstETH/WETH,113,5.44
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,4.32%,,,MetaStable WETH/rETH,132,4.32
Mainnet,sUSDE/USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac,5.59%,,,ComposableStable sUSDe/USDC,89,5.59
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,8.65%,,,ComposableStable WETH/ezETH,103,8.65
Mainnet,weETH/ezETH/swETH,0x253ed65fff980aee7e94a0dc57be304426048b35 ,4.41%,32.50%,,ComposableStable weETH/ezETH/rswETH,100,4.41
Arbitrum,sUSDe/GYD ECLP,0x5a47e3f2E5009168Af11C4b0198605f694805779,5.00%,,,a-Gyroe sUSDe/GYD,203,5.0
Arbitrum,rETH/wstETH ECLP,0xcb785286C9bEBeFF7654a8238Eb563666fD75338,5.00%,,,a-Gyroe wstETH/rETH,207,5.0
Arbitrum,aGHO/GYD ECLP,0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,5.00%,,,a-Gyroe GYD/stataArbGHO,201,5.0
Arbitrum,wUSDM/aUSDC ECLP,0x594dD4297Ef4A5ebeD3DA337Aa56078637aCb18E,5.00%,,,a-Gyroe wUSDM/AaveUSDCn,209,5.0
Arbitrum,sFRAX/aFRAX ECLP,0x00654F788342647A8Aa15f2eb2490e17d222aC85,5.00%,25%,,a-Gyroe stataArbFRAX/sFRAX,202,5.0
