target,platform,amount,bribe_platform
0xD3Ea1345352047bD039BaC9d4177c883E06D449d,balancer,1094.9384,hh
0xD3Ea1345352047bD039BaC9d4177c883E06D449d,aura,0.0000,hh
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,balancer,218.8379,hh
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,aura,0.0000,hh
0x70A1c01902DAb7a45dcA1098Ca76A8314dd8aDbA,balancer,464.9513,hh
0x70A1c01902DAb7a45dcA1098Ca76A8314dd8aDbA,aura,1101.4459,hh
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,balancer,0.0000,hh
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,aura,1337.4858,hh
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,balancer,1402.0288,hh
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,aura,4864.7243,hh
0xc13a3315806f097cee00e39c4285f5Bf250DD8a4,balancer,939.0712,hh
0xc13a3315806f097cee00e39c4285f5Bf250DD8a4,aura,0.0000,hh
0x4B891340b51889f438a03DC0e8aAAFB0Bc89e7A6,balancer,440.5164,hh
0x4B891340b51889f438a03DC0e8aAAFB0Bc89e7A6,aura,1006.3842,hh
0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7,balancer,842.5434,hh
0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7,aura,0.0000,hh
0x9b237fA1958E3022464343137738926d38815801,balancer,0.0000,hh
0x9b237fA1958E3022464343137738926d38815801,aura,1622.5087,hh
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,balancer,1101.9284,hh
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,aura,0.0000,hh
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,balancer,1336.8798,hh
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,aura,2557.2413,hh
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,payment,31634.24933769034122561511012,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,97.26167562349363519085117255,
