chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
gnosis,1485.1059,82.9529,1402.1531,245.3768,1156.7763,0.0000,17.50,82.50,0.00
arbitrum,1463.2768,530.2245,933.0523,163.2842,769.7682,0.0000,17.50,82.50,0.00
polygon,13010.2952,0,13010.2952,2276.8017,10733.4936,0.0000,17.50,82.50,0.00
base,368.9348,159.6842,209.2506,36.6189,172.6318,0.0000,17.50,82.50,0.00
mainnet,16491.3643,1072.6995,1580.6623,276.6159,1304.0464,0.0000,17.50,82.50,0.00
