target,platform,amount,bribe_platform
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,balancer,0.0000,hh
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,aura,892.4798,hh
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,balancer,1087.2856,hh
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,aura,2128.2781,hh
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,balancer,485.9950,hh
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,aura,951.2978,hh
0xc13a3315806f097cee00e39c4285f5Bf250DD8a4,balancer,2264.0370,hh
0xc13a3315806f097cee00e39c4285f5Bf250DD8a4,aura,4431.6785,hh
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,balancer,686.4698,hh
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,aura,1343.7120,hh
0x9b237fA1958E3022464343137738926d38815801,balancer,276.0010,hh
0x9b237fA1958E3022464343137738926d38815801,aura,540.2508,hh
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,balancer,521.3764,hh
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,aura,1020.5542,hh
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,payment,6959.066865563987599980874317,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,107.7544474999999977171682986,
