chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
gnosis,311.3172,2920.3727,0.0000,0.0000,0.0000,17.50,82.50
arbitrum,2104.5856,5957.2747,0.0000,0.0000,0.0000,17.50,82.50
base,51586.4532,4083.7018,47502.7514,8312.9815,39189.7699,17.50,82.50
mainnet,20623.7774,10924.1621,9699.6153,1697.4327,8002.1827,17.50,82.50
