Chain,Label,Gauge Address,Allocation %,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,snapshot_label,snapshot_index,share
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,10.00%,,,,,Stable waEthUSDT/Aave Prime GHO/waEthUSDC,115,10.0
Mainnet,Lido wstETH wETH,0x4b891340b51889f438a03dc0e8aaafb0bc89e7a6,10.00%,,Was last but want to keep for 1 more,,,Stable waEthLidoWETH/waEthLidowstETH,111,10.0
Mainnet ,csUSDL-csUSDC,0x5bbaed1fadc08c5fb3e4ae3c8848777e2da77103,7.00%,,RIP if Paxos doesnt come through ,,,Stable csUSDC/csUSDL,101,7.0
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,7.00%,,Help out MG,,,b-Stable waBasUSDC/waBasGHO,266,7.0
Mainnet,Aave GHO-pyUSD,0x6c0a4550c575c917435f228d36939125a437a98b,5.00%,,Pools meh but help MG,,,Stable Aave Prime GHO/Aave Core pyUSD,98,5.0
Mainnet,USDT-USDR-USDQ,0x8f1e24671e90bb3e43adaedf79a5c6e42ed74f72,7.00%,,Last round unless it grows + marketing rn,,wdyt about 7.5% or more?,Stable steakUSDTlite/steakUSDQ/steakUSDR,108,7.0
Arbitrum,sUSDX-USDX-aUSDT,0xeb312b0d7795743C3DE905bc09c0D62aA180A7a6,5.00%,,Last round unless it grows,,no ^,a-Stable waArbUSDT/USDX/sUSDX,177,5.0
Arbitrum,tETH-aweETH,0xb4db5e1098b5a40ce4b36c9ebfef23a54e50db65,5.00%,,Last round unless it grows,,,a-Stable tETH/waArbweETH,174,5.0
Mainnet,Surge tETH-wstETH,0xd5a0eb558d62780b10ecc202d0049b89f6145073,5.00%,,Last round unless it grows,,,Stable tETH/waEthLidowstETH,109,5.0
Mainnet,dvstETH-awstETH,0xd0f4829f6ccb2df530445519d8d84d1e715f6391,3.00%,,Last round,,,Stable waEthLidowstETH/DVstETH,112,3.0
Mainnet,wstETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,4.50%,,Want to keep these since alliance sounds delayed due to us,,,ComposableStable ezETH/WETH,49,4.5
Mainnet,rETH-wETH,0x79ef6103a513951a3b25743db509e267685726b7 ,5.50%,10.00%,,,,MetaStable rETH/WETH,97,5.5
Base,Aave wETH-wstETH,0x0855e486EE80FF0EC7c913eC0588A7CBf2B8E89c,6.00%,,,,"USDC starts tomorrow, can do",b-Stable waBaswstETH/waBasWETH,267,6.0
Base,Aave ezETH-wstETH,0x86C44de72Ec88d205E63c2aF8D577659319C7a7f,5.00%,,,,"USDC starts tomorrow, can do",b-Stable waBasezETH/waBaswstETH,265,5.0
Base,sUSDs / seamlessUSDC,0x53D051F583D418DE6512db1Bde281957F043937b,5.00%,,"Worth keeping rn, its working",,"USDC starts tomorrow, can do",b-Stable smUSDC/sUSDS (0x53),264,5.0
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,6.00%,,,,"USDC 1 week ago, can do",a-Stable waArbwstETH/waArbWETH,179,6.0
Arbitrum,Aave ezETH-wstETH,0xCA318253Bb460e08ca33fD22574E7F70217130f5,4.00%,,,,"USDC 1 week ago, can do",a-Stable waArbwstETH/waArbezETH,178,4.0
