BIPs/BIP-262/BIP-262D.json
COMMIT: custom
```
+-------------+--------------------------------------------------------------------+--------------------------+--------------------------------------------+---------+--------------------------------------------+------+--------+--------------------+
| function    |                              pool_id                               |          symbol          |                pool_address                | aFactor |               gauge_address                | type |  cap   | style              |
+-------------+--------------------------------------------------------------------+--------------------------+--------------------------------------------+---------+--------------------------------------------+------+--------+--------------------+
| killGauge() | 0x05e7732bf9ae5592e6aa05afe8cd80f7ab0a7bea00020000000000000000005a |        bb-STG-USD        | 0x05e7732bF9ae5592E6AA05aFE8Cd80f7Ab0a7bEA |   N/A   | 0xC02b1b15888277B54Fb4903ef3Dedf4881a8c73A |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0x785f08fb77ec934c01736e30546f87b4daccbe50000200000000000000000041 |        IBT-IBRETH        | 0x785F08fB77ec934c01736E30546f87B4daccBe50 |   N/A   | 0x78F50cF01a2Fd78f04da1D9ACF14a51487eC0347 |  NA  |  2.0%  | ChildChainStreamer |
| killGauge() | 0xc77e5645dbe48d54afc06655e39d3fe17eb76c1c00020000000000000000005c |      BPT-LDO-WSTEH       | 0xc77E5645Dbe48d54afC06655e39D3Fe17eB76C1c |   N/A   | 0xeC6BA3d9D9045997552155599E6Cc89aA08Ffd76 |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0x6222ae1d2a9f6894da50aa25cb7b303497f9bebd000000000000000000000046 |        bb-rf-aUSD        | 0x6222ae1d2a9f6894dA50aA25Cb7b303497f9BEbd |   2000  | 0x8B815a11D0D9eeeE6861D1C5510d6FAA2C6e3fEb |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0xb0de49429fbb80c635432bbad0b3965b2856017700010000000000000000004e |         bb-HAPPY         | 0xB0de49429fBb80c635432bbAD0B3965b28560177 |   N/A   | 0x97a92eDcDD4176B1495bF5DA6D9547537A53ED72 |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0x359ea8618c405023fc4b98dab1b01f373792a12600010000000000000000004f |        bb-WONDER         | 0x359EA8618c405023Fc4B98dAb1B01F373792a126 |   N/A   | 0xb8F91FF8Cd5005f6274B6c2292CF3CCCdBCF32b7 |  NA  |  2.0%  | ChildChainStreamer |
| killGauge() | 0x981fb05b738e981ac532a99e77170ecb4bc27aef00010000000000000000004b |        bb-YELLOW         | 0x981Fb05B738e981aC532a99e77170ECb4Bc27AEF |   N/A   | 0xa26B3523227e300Ff8eCA69CD3b0bdcbd2Db0313 |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0xde45f101250f2ca1c0f8adfc172576d10c12072d00000000000000000000003f |        bb-wstETH         | 0xde45F101250f2ca1c0f8adFC172576d10c12072D |   100   | 0x74CE2247eC3f0b87BA0737497e3Db8873c184267 |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0xcc65a812ce382ab909a11e434dbf75b34f1cc59d000200000000000000000001 |      B-60BAL-40WETH      | 0xcC65A812ce382aB909a11E434dbf75B34f1cc59D |   N/A   | 0x6823DcA6D70061F2AE2AAA21661795A2294812bF |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0x7bceaa9c5e7f4836fec3bce2d5346637c9b13970000000000000000000000102 |         VST BSP          | 0x7bceaa9c5E7f4836Fec3bCe2d5346637c9B13970 |   100   | 0x709E5d6258aa97F12f3167844CB858696c16F39A |  NA  |  N/A%  | ChildChainStreamer |
| killGauge() | 0xc61ff48f94d801c1ceface0289085197b5ec44f000020000000000000000004d |      50VSTA-50WETH       | 0xC61ff48f94D801c1ceFaCE0289085197B5ec44F0 |   N/A   | 0xd863DA50435D9FCf75008f00e49fFd0722291d94 |  NA  |  2.0%  | ChildChainStreamer |
| killGauge() | 0x8f9dd2064eb38e8e40f2ab67bde27c0e16ea9b080002000000000000000004ca |       50RBW-50WETH       | 0x8f9Dd2064eb38E8E40F2aB67bDE27c0e16ea9B08 |   N/A   | 0xa3E3B2C9C7A04894067F106938cA81e279bC3831 |  NA  |  2.0%  | ChildChainStreamer |
| killGauge() | 0x4fd63966879300cafafbb35d157dc5229278ed2300020000000000000000002b |       BPT-rETH-ETH       | 0x4Fd63966879300caFafBB35D157dC5229278Ed23 |    50   | 0xfb0265841C49A6b19D70055E596b212B0dA3f606 |  NA  |  N/A%  | ChildChainStreamer |
