Chain,Label,Gauge Address,Allocation %
mainnet,sDAI/3Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,0.15
arbitrum,sFRAX/4POOL,0x62a82fe26e21a8807599374cac8024fae342ef83,0.3
atrbitrum,4POOL,0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,0.35
arbitrum,USDC/USDC.e/axlUSDC,0xe9b2cb6836be07357bcb8144f398730d5ec268e9,0.15
mainnet,wstETH-WETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,0.05
