Chain,Label,Gauge Address,Allocation %,Unnamed: 4,snapshot_label,snapshot_index,share
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity,ComposableStable USDC-DAI-USDT/sDAI,95,10.0
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,12.50%,,ComposableStable USDT/USDC/GHO,98,12.5
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,7.00%,,a-ComposableStable sFRAX/4POOL-BPT,179,7.0
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.00%,,a-Gyro AaveUSDCn/USDC,200,2.0
Arbitrum,aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,2.00%,,a-Gyro AaveUSDT/USDT,201,2.0
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,5.50%,39.00%,a-Gyroe AaveUSDCn/AaveUSDT,202,5.5
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,3.16%,Revenue ,50/50 wstETH/ACX,30,3.16
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,7.67%,27.50%,ComposableStable wstETH/WETH,116,7.67
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,5.53%,,MetaStable WETH/rETH,138,5.53
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,2.78%,,ComposableStable rETH/weETH,84,2.78
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,5.80%,,ComposableStable WETH/ezETH,105,5.8
Mainnet,sUSDe/USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac ,2.56%,27.50%,ComposableStable sUSDe/USDC,91,2.56
Mainnet,balETH/wstETH,0xfc4bebf1f33594be59fdfb7e1c4a45759ecaec5a,10.00%,,ComposableStable balETH/wstETH,65,10.0
Arbitrum,aGHO/GYD ECLP,0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,5.00%,,a-Gyroe GYD/stataArbGHO,209,5.0
Arbitrum,USDe/aGHO ECLP,0xD558C611B69a223767788B638717E868D8947Fd0,5.00%,,a-Gyroe USDe/stataArbGHO,213,5.0
Arbitrum,GYD/wstETH,0x9E965252d1b294aF358a232933A65Bd30645c34C,3.00%,,a-Gyroe wstETH/GYD (0x9e),216,3.0
Arbitrum,ECLP-wstETH/rETH,0xcb785286C9bEBeFF7654a8238Eb563666fD75338,4.00%,,a-Gyroe wstETH/rETH,218,4.0
Mainnet,deUSD/sdeUSD,0xa00db7d9c465e95e4aa814a9340b9a161364470a,3.50%,,Gyroe deUSD/sdeUSD,120,3.5
Arbitrum,USDC/sUSX,0x4a0c9905b098842827fB09BaA4522721d4e14deE,3.00%,34%,a-ComposableStable USDC/sUSX,190,3.0
