Chain,Label,Gauge Address,Allocation %,
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,75.00%
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,10.00%
Arbitrum,4Pool,0xbb1a15dfd849bc5a6f33c002999c8953afa626ad,5.00%
