chain,token_address,amount,amount_mantissa
mainnet,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,93.964645654888308701,93964645654888308701
mainnet,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,2238.775565553959085566,2238775565553959085566
