target,amount,is_alliance,voting_pool_override,platform
0x9b237fA1958E3022464343137738926d38815801,847.1588,False,,
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,4092.7221,False,,
0xfD151734ffC9A4A55C50fed4b66c15B06Bbb390B,613.7296,False,,
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,1672.9035,False,,
0x62A66eB9aBf7a788F48D0ce7C0C065df9e09dA19,1627.9794,False,,
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,1473.9296,True,,
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,4168.4946,False,,
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,3989.3642,False,,
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,7430.280684062339405474643327,,,payment
0xea06e1b4259730724885a39CE3ca670eFB020E26,0.0000,,,beets
