pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,is_partner
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.2433,308.6118,38.5765,54.0071,0.0000,216.0282,0.0000,216.0282,0.0000,0,1753877538,False
0x5f8893506ddc4c271837187d14a9c87964a074dc000000000000000000000106,optimism,bpt-ethtri,3819.6938,2101.6494,131.3531,183.8943,315.2474,1569.8072,1482.5592,87.2480,98.6526,0,1753916691,False
0x4fd63966879300cafafbb35d157dc5229278ed2300020000000000000000002b,optimism,BPT-rETH-ETH,3811.1142,858.4343,53.6521,75.1130,128.7651,641.1994,0.0000,641.1994,40.2954,0,1753964889,False
0x2bb4712247d5f451063b5e4f6948abdfb925d93d000000000000000000000136,optimism,bpt-weethwsteth,3781.7556,125.5186,7.8449,10.9829,18.8278,0.0000,0.0000,0.0000,-87.8630,0,1753801969,False
0x7ca75bdea9dede97f8b13c6641b768650cb837820002000000000000000000d5,optimism,ECLP-wstETH-WETH,3821.5487,53.0198,3.3137,4.6392,7.9530,0.0000,0.0000,0.0000,-37.1139,0,1753965037,False
0x73a7fe27fe9545d53924e529acf11f3073841b9e000000000000000000000133,optimism,wrsETH/wETH,3766.6315,19.9588,1.2474,1.7464,2.9938,0.0000,0.0000,0.0000,-13.9712,0,1753963149,False
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,Lido,3864.6615,23137.8835,2892.2354,4049.1296,0.0000,12386.9261,12386.9261,0.0000,239.5373,0,1753904315,True
0x1d13531bf6344c102280ce4c458781fbf14dad140000000000000000000006df,mainnet,tETH/wstETH,4469.4561,13575.4579,1696.9322,2375.7051,0.0000,9643.3618,8651.9785,991.3833,140.5413,0,1753952555,False
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,Rocket Pool,3854.2609,13507.7954,1688.4744,2363.8642,0.0000,7231.4334,0.0000,7231.4334,139.8408,0,1753840907,True
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,30.9585,9427.3140,1178.4142,1649.7799,0.0000,6696.7170,5673.1752,1023.5418,97.5972,0,1753669655,False
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,3837.4229,7894.7763,986.8470,1381.5858,0.0000,5608.0749,4589.0799,1018.9950,81.7315,0,1753588631,False
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,3812.9083,7560.8099,945.1012,1323.1417,0.0000,5370.8410,4418.0144,952.8267,78.2741,0,1753956107,False
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,3811.6132,3768.2744,471.0343,659.4480,0.0000,2676.8035,2090.5942,586.2093,39.0114,0,1753653803,False
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.4349,3712.6451,464.0806,649.7129,0.0000,2637.2871,2050.0041,587.2829,38.4355,0,1753669571,False
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,1.0142,3349.5132,418.6892,586.1648,0.0000,2379.3354,1826.1151,553.2204,34.6762,0,1753656875,False
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,27.2360,1320.6392,165.0799,231.1119,0.0000,938.1195,0.0000,938.1195,13.6721,0,1753870607,False
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,3824.2311,1302.1346,162.7668,227.8736,0.0000,924.9747,0.0000,924.9747,13.4805,0,1753825871,False
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,3796.2909,727.6317,90.9540,127.3355,0.0000,516.8751,0.0000,516.8751,7.5329,0,1753440431,False
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,3807.0144,495.1353,61.8919,86.6487,0.0000,0.0000,0.0000,0.0000,-346.5947,0,1753759931,False
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,3832.6764,491.5826,61.4478,86.0270,0.0000,0.0000,0.0000,0.0000,-344.1078,0,1753286783,False
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,0.2254,156.7698,19.5962,27.4347,0.0000,0.0000,0.0000,0.0000,-109.7388,0,1753717607,False
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,3758.5113,102.2645,12.7831,17.8963,0.0000,0.0000,0.0000,0.0000,-71.5851,0,1753641947,False
0xda17f3663c5d04c0b316cfa1a04aa53ebbc8c12c0000000000000000000006e7,mainnet,eBTC/wBTC,118361.7674,74.7205,9.3401,13.0761,0.0000,0.0000,0.0000,0.0000,-52.3043,0,1753228295,False
0x740a691bd31c4176bcb6b8a7a40f1a723537d99d0000000000000000000006b6,mainnet,cdcETH/wstETH,3742.0708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1752557063,False
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,1.0515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1750611071,False
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,3775.2783,1237.1684,154.6460,216.5045,0.0000,1051.3775,0.0000,1051.3775,185.3596,0,1753903315,False
0x8dd4df4ce580b9644437f3375e54f1ab0980822800020000000000000000009c,gnosis,ECLP-wstETH-WETH,3782.8705,231.8543,28.9818,40.5745,0.0000,0.0000,0.0000,0.0000,-162.2980,0,1753965205,False
