chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
gnosis,22819.8734,891.6407,21928.2327,3837.4407,18090.7920,17.50,82.50
arbitrum,12830.1261,4894.9188,7935.2073,1388.6613,6546.5460,17.50,82.50
avalanche,1796.3443,479.1564,1317.1879,230.5079,1086.6800,17.50,82.50
polygon,14063.2023,924.5822,13138.6201,2299.2585,10839.3616,17.50,82.50
base,6901.0521,1924.9373,4976.1148,870.8201,4105.2947,17.50,82.50
mainnet,192397.5732,52198.3990,140199.1742,24534.8555,115664.3187,17.50,82.50
