chain,bribe_market,token_address,gauge_address,amount,amount_mantissa
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,134.609015113101680462,134609015113101680462
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,131.969622659903608296,131969622659903608296
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,116.314430134604543091,116314430134604543091
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,114.03375503392602264,114033755033926022640
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,83.533492243656149643,83533492243656149643
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,81.895580631035440826,81895580631035440826
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,168.372205078013995764,168372205078013995764
mainnet,paladin,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,0x62A66eB9aBf7a788F48D0ce7C0C065df9e09dA19,77.635311387978404761,77635311387978404761
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,165.070789292170584083,165070789292170584083
mainnet,paladin,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,0x62A66eB9aBf7a788F48D0ce7C0C065df9e09dA19,76.113050380370985059,76113050380370985059
mainnet,hiddenhand,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,,236.018190853920061473,236018190853920061473
mainnet,hiddenhand,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,1059.916562,1059916562
