Chain,Label,Gauge Address,Allocation %,Unnamed: 4,snapshot_label,snapshot_index,share
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity,ComposableStable USDC-DAI-USDT/sDAI,93,10.0
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,12.50%,,ComposableStable USDT/USDC/GHO,96,12.5
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,7.00%,,a-ComposableStable sFRAX/4POOL-BPT,176,7.0
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.00%,,a-Gyro waUSDCn/USDC,197,2.0
Arbitrum,aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,2.00%,,a-Gyro waUSDT/USDT,198,2.0
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,5.50%,39.00%,a-Gyroe waUSDCn/waUSDT,210,5.5
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,6.20%,Revenue ,50/50 wstETH/ACX,30,6.2
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,7.18%,35.00%,ComposableStable wstETH/WETH,115,7.18
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,7.64%,,MetaStable WETH/rETH,137,7.64
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,3.06%,,ComposableStable rETH/weETH,84,3.06
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,5.12%,,ComposableStable WETH/ezETH,103,5.12
Mainnet,sUSDe/USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac ,5.80%,35%,ComposableStable sUSDe/USDC,89,5.8
Mainnet,balETH/wstETH,0xfc4bebf1f33594be59fdfb7e1c4a45759ecaec5a,10.00%,,ComposableStable balETH/wstETH,65,10.0
Arbitrum,USDe/aGHO ECLP,0xD558C611B69a223767788B638717E868D8947Fd0,7.00%,,a-Gyroe USDe/waGHO,205,7.0
Arbitrum,GYD/wstETH,0x9E965252d1b294aF358a232933A65Bd30645c34C,4.00%,,a-Gyroe wstETH/GYD (0x9e),214,4.0
Arbitrum,ECLP-wstETH/rETH,0xcb785286C9bEBeFF7654a8238Eb563666fD75338,5.00%,,a-Gyroe wstETH/rETH,216,5.0
