chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
arbitrum,7788.6291,6252.2921,1536.3370,268.8590,1267.4781,17.50,82.50
avalanche,753.9155,482.0966,271.8189,47.5683,224.2506,17.50,82.50
gnosis,22831.8101,2405.3567,20426.4533,3574.6293,16851.8240,17.50,82.50
polygon,13079.9639,985.4711,12094.4929,2116.5363,9977.9566,17.50,82.50
base,10511.3206,3331.7319,7179.5887,1256.4280,5923.1607,17.50,82.50
mainnet,127979.2369,41808.3670,86170.8700,15079.9022,71090.9677,17.50,82.50
