chain,bribe_market,token_address,gauge_address,amount,amount_mantissa
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,150.575608441467826236,150575608441467826236
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,253.984909365099334543,253984909365099334543
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,167.31980631386001859,167319806313860018590
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,164.039025797901979011,164039025797901979011
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,174.087333146924086564,174087333146924086564
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,170.673856026396163298,170673856026396163298
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,132.523460139611978622,132523460139611978622
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,129.924960921188214335,129924960921188214335
mainnet,paladin,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,147.623145530850810036,147623145530850810036
mainnet,hiddenhand,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,7494.414553,7494414553
mainnet,hiddenhand,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,,1151.208732341525062739,1151208732341525062739
