,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,2173.99,2829.3886,1523.5169,4567.3281,3090.3676,1476.9605,214.4226,0,2024-11-07 03:33:44+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,107.09,139.3747,75.0479,0,0,0,-214.4226,0,2024-11-07 04:44:27+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,14862.45,10048.1906,5410.5642,15812.7174,11445.8603,4366.8576,353.9627,0,2024-11-07 08:42:35+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,14826.59,10023.9464,5397.5096,15774.5650,11420.0453,4354.5196,353.1090,0,2024-11-07 09:06:47+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,14230.32,9620.8207,5180.4419,15140.1708,0,15140.1710,338.9081,0,2024-11-07 05:25:11+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,7664.15,5181.5710,2790.0767,8154.1764,6263.9012,1890.2752,182.5287,0,2024-11-04 10:07:11+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,7478.96,5056.3679,2722.6596,7957.1459,6130.5856,1826.5605,178.1183,0,2024-11-05 15:59:35+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,4237.77,2865.0674,1542.7286,4508.7223,3797.2965,711.4258,100.9263,0,2024-10-13 17:10:23+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,4106.90,2776.5889,1495.0863,4369.4849,3703.0849,666.3997,97.8097,0,2024-10-30 21:04:59+00:00
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,3775.25,2552.3673,1374.3516,4016.6300,3464.3347,552.2952,89.9111,0,2024-11-06 02:26:59+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,3677.23,2486.0980,1338.6682,3912.3429,3393.7715,518.5713,87.5767,0,2024-11-06 05:55:35+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,3562.93,2408.8222,1297.0581,3790.7348,3311.4884,479.2464,84.8545,0,2024-11-07 06:55:11+00:00
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1883.44,1273.3543,685.6523,2003.8625,2003.8622,0.0000,44.8559,0,2024-11-03 23:38:11+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,1791.12,1210.9386,652.0439,1905.6398,1905.6397,0.0000,42.6573,0,2024-11-07 04:13:23+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,1477.43,998.8594,537.8474,1571.8931,1571.8930,0.0000,35.1863,0,2024-11-04 10:04:59+00:00
