chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
gnosis,36185.1910,4141.7857,32043.4054,5607.5959,26435.8094,17.50,82.50
arbitrum,16385.0648,8191.6020,8193.4627,1433.8560,6759.6067,17.50,82.50
avalanche,1174.7875,556.8033,617.9842,108.1472,509.8370,17.50,82.50
polygon,18967.4979,1397.0367,17570.4612,3074.8307,14495.6305,17.50,82.50
base,6629.1381,4454.4460,2174.6920,380.5711,1794.1209,17.50,82.50
mainnet,127789.1611,59479.0808,68310.0803,11954.2641,56355.8163,17.50,82.50
