,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,5253.06,11684.22,6291.50,17975.72,11421.82,6553.90,0,0,2024-04-11 22:21:47+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,1577.07,3507.83,1888.83,5396.66,3429.05,1967.61,0,0,2024-04-11 21:08:21+00:00
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,952.62,2118.88,1140.94,3259.82,2071.30,1188.52,0,0,2024-04-10 11:44:13+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,84875.00,42098.30,22668.32,65284.18,41481.73,23802.45,517.56,0,2024-04-11 23:32:35+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,41643.18,20655.17,11122.01,32031.11,20352.65,11678.46,253.93,0,2024-04-11 13:54:59+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,30753.93,15254.06,8213.72,23655.32,15030.65,8624.67,187.54,0,2024-04-11 23:58:47+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,27313.01,13547.35,7294.73,21008.63,13348.93,7659.70,166.55,0,2024-04-11 14:52:11+00:00
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,20043.86,9941.83,5353.29,15417.34,9796.22,5621.12,122.22,0,2024-04-10 21:26:47+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,18920.42,9384.60,5053.24,14553.21,9247.14,5306.07,115.37,0,2024-04-11 21:12:23+00:00
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,16511.86,8189.94,4409.97,12700.59,8069.99,4630.60,100.68,0,2024-04-06 14:58:35+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,12298.82,6100.26,3284.75,9460.01,6010.91,3449.10,75.00,0,2024-04-11 20:53:23+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,10846.47,5379.89,2896.86,8342.88,5301.09,3041.79,66.13,0,2024-04-09 09:15:11+00:00
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,5288.33,2623.03,1412.40,4067.68,2584.61,1483.07,32.25,0,2024-04-11 17:50:47+00:00
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,3683.73,1827.14,983.85,2833.46,1800.39,1033.07,22.47,0,2024-04-11 00:34:47+00:00
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,3517.06,1744.47,939.33,2705.26,1718.93,986.33,21.45,0,2024-04-11 23:20:23+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,3223.47,1598.85,860.92,2479.43,1575.44,903.99,19.66,0,2024-04-09 22:40:59+00:00
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,2918.61,1447.64,779.50,2244.93,1426.43,818.50,17.79,0,2024-04-11 03:25:23+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,2023.38,1003.60,540.40,1556.34,988.90,567.44,12.33,0,2024-04-11 22:16:11+00:00
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,2013.42,998.66,537.74,1548.69,984.04,564.65,12.28,0,2024-04-10 13:57:47+00:00
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,1468.78,728.52,392.28,1129.75,717.85,411.90,8.95,0,2024-04-11 22:24:47+00:00
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,991.77,491.92,264.88,762.85,0,762.85,6.05,0,2024-04-11 11:45:35+00:00
0xff42a9af956617e4c3532ef2fc7567465efe4909000200000000000000000672,mainnet,50KEP/50rsETH,839.52,416.40,224.22,645.75,0,645.75,5.13,0,2024-04-10 07:57:11+00:00
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,728.12,361.15,194.47,560.06,0,560.06,4.44,0,2024-04-10 08:57:11+00:00
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,505.22,250.59,134.93,0,0,0,-385.52,0,2024-04-10 01:11:35+00:00
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,498.89,247.45,133.24,0,0,0,-380.69,0,2024-04-11 02:07:35+00:00
0xd3f8ab9c5928fdf53153e7757131ad7815fe3146000000000000000000000661,mainnet,vETH/wstETH,407.03,201.89,108.71,0,0,0,-310.60,0,2024-04-11 13:49:23+00:00
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,253.16,125.57,67.61,0,0,0,-193.18,0,2024-04-09 01:56:35+00:00
0x09b03b7cbb19b3dae94f884cf60dbc3c99a3947b00000000000000000000066c,mainnet,pyUSD/sDOLA BSP,233.21,115.67,62.29,0,0,0,-177.96,0,2024-04-02 01:11:59+00:00
0xdacf5fa19b1f720111609043ac67a9818262850c000000000000000000000635,mainnet,osETH/wETH-BPT,203.67,101.02,54.40,0,0,0,-155.42,0,2024-04-07 04:46:47+00:00
