target,platform,amount
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,20352.6500
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,11678.4600
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,aura,717.8500
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,balancer,411.9000
0x79eF6103A513951a3b25743DB509E267685726B7,aura,13348.9300
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,7659.7000
0xCD19892916929F013930ed628547Cc1F439b230e,aura,984.0400
0xCD19892916929F013930ed628547Cc1F439b230e,balancer,564.6500
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,aura,0
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,balancer,0
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,6010.9100
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,3449.1000
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,0
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,5301.0900
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,3041.7900
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,1426.4300
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,818.5000
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,41481.7300
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,23802.4500
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,2584.6100
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,1483.0700
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,15030.6500
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,8624.6700
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,9247.1400
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,5306.0700
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,0.0000
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,762.8500
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0.0000
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,560.0600
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,aura,0
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,balancer,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,aura,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,balancer,0
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,aura,8069.9900
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,balancer,4630.6000
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,1800.3900
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,1033.0700
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,0
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,1718.9300
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,986.3300
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,0
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,0
0xc592c33e51A764B94DB0702D8BAf4035eD577aED,aura,0
0xc592c33e51A764B94DB0702D8BAf4035eD577aED,balancer,0
0xe6281Fc01607366794597d7fA6b32931fF986969,aura,0
0xe6281Fc01607366794597d7fA6b32931fF986969,balancer,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,0
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,aura,0
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,balancer,0
0xCDA1B6704B108dF230d2a36da4C088C6afd6f335,aura,0
0xCDA1B6704B108dF230d2a36da4C088C6afd6f335,balancer,0
0xF849D20a927C892Ad2C476a5cc7E2cDbD9BbC18f,aura,0
0xF849D20a927C892Ad2C476a5cc7E2cDbD9BbC18f,balancer,0
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,aura,0.0000
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,balancer,645.7500
0x7d631e72eb15285Da57eeaf40a971724A94ced05,aura,0
0x7d631e72eb15285Da57eeaf40a971724A94ced05,balancer,0
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,0
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,0
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,aura,0
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,balancer,0
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,9796.2200
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,5621.1200
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,988.9000
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,567.4400
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,0
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,0
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,1575.4400
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,903.9900
0xA71Adac76A2e34f8F988Fa6992E3bDAd08D92C01,aura,0
0xA71Adac76A2e34f8F988Fa6992E3bDAd08D92C01,balancer,0
0x065885bDec1e571DC309d6d3576628419C13DB99,aura,0
0x065885bDec1e571DC309d6d3576628419C13DB99,balancer,0
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,765.7800
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,439.4100
0xBE0967E7510604302b0F974E21A625D9f762B8bb,aura,2107.0000
0xBE0967E7510604302b0F974E21A625D9f762B8bb,balancer,1209.0100
