chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
avalanche,4196.9406,2923.8610,1273.0797,222.7889,1050.2907,17.50,82.50
base,11287.7630,6341.3630,4946.4000,865.6200,4080.7800,17.50,82.50
arbitrum,4275.0465,1785.2252,2489.8213,435.7187,2054.1026,17.50,82.50
gnosis,2779.7337,1736.1065,1043.6272,182.6348,860.9924,17.50,82.50
mainnet,18585.3523,11754.1254,6831.2270,1195.4647,5635.7622,17.50,82.50
