label,gauge_address,weight
sDAI/3Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,0.1250
sFRAX/4POOL,0x62a82fe26e21a8807599374cac8024fae342ef83,0.10
4POOL,0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,0.05
aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,0.05
aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,0.05
