chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
optimism,833.1691,954.4620,0.0000,0.0000,0.0000,0.0000,17.50,82.50,50.00
avalanche,3495.1053,2449.6460,1045.4592,182.9554,862.5039,0.0000,17.50,82.50,0.00
mainnet,31071.2398,20583.6060,10473.4160,1832.8478,8640.5682,0.0000,17.50,82.50,0.00
base,37487.9256,6250.4549,30840.1687,5397.0295,25443.1392,0.0000,17.50,82.50,0.00
arbitrum,5273.0259,4131.6812,1141.3447,199.7353,941.6094,0.0000,17.50,82.50,0.00
gnosis,3136.6636,2282.9380,853.7256,149.4020,704.3236,0.0000,17.50,82.50,0.00
