,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,5322.80,4919.5196,2648.9721,7568.4917,5754.7354,1813.7563,0.0000,0,2024-08-15 17:13:13+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,481.39,444.9176,239.5710,684.4887,0,684.4887,0.0000,0,2024-08-15 05:10:24+00:00
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-08-12 23:28:09+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,34678.38,19965.0226,10750.3968,30997.1501,22287.8679,8709.2823,281.7308,0,2024-08-15 20:05:59+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,22428.95,12912.7858,6953.0385,20048.0395,14653.1430,5394.8966,182.2152,0,2024-08-09 04:30:11+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,21829.39,12567.6074,6767.1732,19512.1249,14279.4541,5232.6709,177.3443,0,2024-08-15 09:47:23+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,17703.48,10192.2402,5488.1293,15824.1945,11707.8905,4116.3039,143.8250,0,2024-08-15 13:51:23+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,17329.25,9976.7886,5372.1170,15489.6902,0,15489.6903,140.7846,0,2024-08-15 04:31:35+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,16401.31,9442.5554,5084.4529,14660.2542,10896.2845,3763.9697,133.2459,0,2024-08-13 23:04:11+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,9437.98,5433.6299,2925.8007,8436.1060,6556.2369,1879.8690,76.6753,0,2024-08-15 16:18:23+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,6519.51,3753.4096,2021.0667,5827.4415,4737.2365,1090.2049,52.9652,0,2024-08-13 08:47:59+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,5996.20,3452.1298,1858.8391,5359.6826,4411.0722,948.6105,48.7137,0,2024-08-15 14:07:59+00:00
