Chain,Label,Gauge Address,Allocation %,
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,12.50%,
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,5.00%,
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.00%,
Arbitrum,aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,2.00%,
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,5.50%,37.00%
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,3.70%,Revenue 
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,7.33%,32.00%
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,4.27%,
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,2.61%,
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,10.62%,
Mainnet,weETH/ezETH/rswETH,0x253ED65fff980AEE7E94a0dC57BE304426048b35 ,3.47%,32%
,,,,Biz Dev
Mainnet,balETH/wstETH,0xfc4bebf1f33594be59fdfb7e1c4a45759ecaec5a,10.00%,
Arbitrum,USDe/aGHO ECLP,0xD558C611B69a223767788B638717E868D8947Fd0,5.00%,
Arbitrum,GYD/wstETH,0x9E965252d1b294aF358a232933A65Bd30645c34C,3.00%,
Arbitrum,ECLP-wstETH/rETH,0xcb785286C9bEBeFF7654a8238Eb563666fD75338,3.00%,
Arbitrum,GHO / USDL,0x2e8A05f0216c6cC43BC123EE7dEf58901d3844D2,4.00%,
Mainnet,hETH / wstETH,0x60adB6A1D73b16F47EA3CCBa94f79cc95D2ba73B ,4.00%,
Optimism,ECLP-waUSDC-waUSDT,0x1a8F7747cA103d229d7bDFF5f89c176b95Faf301,2.00%,
,,,,31%
,,,,TOTAL
,,,,100.00%
