token_type,token_address,receiver,amount,id
erc20,0xba100000625a3754423978a60c9317c58a424e3D,0x166f54F44F271407f24AA1BE415a730035637325,42150,
native,,0x166f54F44F271407f24AA1BE415a730035637325,5,
