Chain,Label,Gauge Address,Allocation %,,
,,,,Core Liquidity,
Mainnet,V3 GHO/USDC/USDT,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,7.00%,,
Mainnet,Lido fWETH-fwstETH,0x1cce9d493224a19fcb5f7fbade8478630141cb54,5.00%,,Reduce only alliance is in full swing (one more round max)
Base,Aave GHO-USDC,0x1da19f38eb6f2c22199dc0848118b26095c29aed,5.00%,,Last round
Arbitrum,sUSDX-USDX-aUSDT,0xeb312b0d7795743C3DE905bc09c0D62aA180A7a6,10.00%,,
Base ,Aave GHO-USR,0xB1E8ec305b0b29097a117CaFC9721A553533E54C,5.00%,,Increase next round
Base,Aave GHO-EURC,0x1B7E33186C7e9C337508bB65EA9dc498aB14fcAE,5.00%,,Increase next round
Arbitrum,orbETH-aWETH,0x2D1c51eaB8b3c2287BA26061c0e339DA3b15B955,15.00%,,weeks 5 and 6 of 6 - LAST ROUND
,,,,52%,
Mainnet,wstETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,7.00%,,Final round
Mainnet,rETH-wETH,0x79ef6103a513951a3b25743db509e267685726b7 ,7.00%,14.00%,Keep 
,,,,Biz Dev,
Base,Aave wETH-wstETH,0x0855e486EE80FF0EC7c913eC0588A7CBf2B8E89c,5.00%,,"Need arb TVL, Lido kicking can down the road on Base"
Base,Aave ezETH-wstETH,0x86C44de72Ec88d205E63c2aF8D577659319C7a7f,5.00%,,Upcoming stable pairs worthwhile? 
Arbitrum,Aave wETH-wstETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,12.00%,,
Arbitrum,Aave ezETH-wstETH,0xCA318253Bb460e08ca33fD22574E7F70217130f5,12.00%,,
,,,,,Be sure to add in Avalanche gauges next round
,,,,34%,
,,,,TOTAL,
,,,,100.00%,
