chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
arbitrum,831.2241,384.5062,446.7179,78.1756,368.5423,0.0000,17.50,82.50,0.00
polygon,3307.6735,0,3307.6735,578.8429,2728.8306,0.0000,17.50,82.50,0.00
gnosis,197.9199,30.4295,167.4904,29.3108,138.1796,0.0000,17.50,82.50,0.00
mainnet,15131.7040,54.8492,15076.8547,2638.4496,12438.4052,0.0000,17.50,82.50,0.00
