chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,dao_share_pct,vebal_share_pct
gnosis,20828.2940,834.9762,19993.3178,3498.8306,16494.4872,17.50,82.50
arbitrum,6094.9300,4737.6056,1357.3245,237.5318,1119.7927,17.50,82.50
avalanche,352.0263,367.0136,0.0000,0.0000,0.0000,17.50,82.50
polygon,10656.4008,923.9570,9732.4437,1703.1776,8029.2661,17.50,82.50
base,5135.5996,3755.0618,1380.5378,241.5941,1138.9437,17.50,82.50
mainnet,108967.3758,40595.6993,68371.6765,11965.0434,56406.6331,17.50,82.50
