label,gauge_address,weight
weETH/ezETH/rswETH,0x253ed65fff980aee7e94a0dc57be304426048b35,0.0463
cbETH/rETH/wstETH,0xbe0967e7510604302b0f974e21a625d9f762b8bb,0.0213
svETH-wstETH-BPT,0xd98ed0426d18b115d6388923803e33ad8aaf11f8,0.0243
weETH/rETH,0xc859bf9d7b8c557bbd229565124c2c09269f3aef,0.0444
ezETH-WETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,0.1365
B-rETH-STABLE,0x79eF6103A513951a3b25743DB509E267685726B7,0.0272
