label,gauge_address,weight
sDAI/3Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,0.15
sFRAX/4POOL,0x62a82fe26e21a8807599374cac8024fae342ef83,0.15
4POOL,0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,0.05
USDC/USDC.e/axlUSDC,0xe9b2cb6836be07357bcb8144f398730d5ec268e9,0.075
wstETH-WETH-BPT,0xdf54d2dd06f8be3b0c4ffc157be54ec9cca91f3c,0.025
