chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
arbitrum,3355.4530,2470.9657,884.4873,154.7853,729.7020,0.0000,17.50,82.50,0.00
avalanche,6606.5324,4424.0396,2182.4928,381.9362,1800.5565,0.0000,17.50,82.50,0.00
base,9695.9928,5944.8765,3751.1163,656.4453,3094.6709,0.0000,17.50,82.50,0.00
gnosis,2126.3892,1718.9533,407.4360,71.3013,336.1347,0.0000,17.50,82.50,0.00
mainnet,25511.3507,21845.5879,3665.7628,641.5085,3024.2543,0.0000,17.50,82.50,0.00
optimism,1419.9600,1102.5656,317.3944,27.7720,130.9252,158.6972,17.50,82.50,50.00
