pool_id,chain,symbol,gauge_address,voting_pool_override,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,aura_incentives,bal_incentives,redirected_incentives,last_join_exit,is_alliance,is_partner
0x870c0af8a1af0b58b4b0bd31ce4fe72864ae45be,optimism,Balancer rETH-Aave wETH,0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,,0.0000,27.9585,17.8934,5.8713,4.1938,0.0000,0,0,-19.5709,0,False,False
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,,0.0000,6863.2370,857.9046,1201.0665,0.0000,5028.2653,0,0,223.9994,0,False,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0x1CCE9d493224A19FcB5f7fBade8478630141CB54,aura,0.0000,1125.9681,140.7460,197.0444,0.0000,627.8821,0,0,36.7489,0,True,True
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,,0.0000,1006.2084,125.7761,176.0865,0.0000,737.1861,0,0,32.8402,0,False,False
0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,mainnet,rETH-waEthWETH,0x62A66eB9aBf7a788F48D0ce7C0C065df9e09dA19,,0.0000,936.2305,117.0288,163.8403,0.0000,685.9176,0,0,30.5563,0,False,False
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7,,0.0000,207.9625,25.9953,36.3934,0.0000,0.0000,0,0,-145.5738,0,False,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0x70A1c01902DAb7a45dcA1098Ca76A8314dd8aDbA,,0.0000,169.4174,21.1772,29.6480,0.0000,0.0000,0,0,-118.5922,0,False,False
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,0x4eB7C7fD67B9b2C24d9fF1601ccDa5A01bD40c7f,,0.0000,60.4242,7.5530,10.5742,0.0000,0.0000,0,0,-42.2969,0,False,False
0x071828acc755314e687448703775f22194f56867,mainnet,Surge siUSD-sUSDe,0xB1EFE3B01D5Cf28Bd923de3E5a567621588F435a,,0.0000,16.8574,2.1072,2.9500,0.0000,0.0000,0,0,-11.8002,0,False,False
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,0xA67fBb1E751E0C6ECd9a213c960A11fd4b3B691D,,0.0000,8.4025,1.0503,1.4704,0.0000,0.0000,0,0,-5.8817,0,False,False
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,,0.0000,1393.4882,174.1860,243.8604,0.0000,1013.9390,0,0,38.4973,0,False,False
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,0x31Ccb4E5005Fd37005523E6e3f1d084F9aBe25B6,,0.0000,54.9961,6.8745,9.6243,0.0000,0.0000,0,0,-38.4973,0,False,False
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,,0.0000,6240.0893,780.0112,1092.0156,0.0000,4439.8123,0,0,71.7498,0,False,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0x9b237fA1958E3022464343137738926d38815801,,0.0000,563.6019,70.4502,98.6303,0.0000,401.0018,0,0,6.4804,0,False,False
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,0xAC3b3fFf577561C58f126e4F6375F56476DD9fDb,,0.0000,94.8528,11.8566,16.5992,0.0000,0.0000,0,0,-66.3969,0,False,False
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0xB2FcAd9fd42Affd0A90a996A1DEde4427435e5F8,,0.0000,16.9047,2.1131,2.9583,0.0000,0.0000,0,0,-11.8333,0,False,False
