Chain,Label,Gauge Address,Allocation %,Unnamed: 4,snapshot_label,snapshot_index,share
Mainnet,Aave USDC USDT,0xeec405b834c90b59122bcc2357f27110b2adb4b7,5.00%,Core Liquidity,Stable waEthUSDC/waEthUSDT,160,5.0
Mainnet,V3 GHO/USDC/USDT,0x9fdd52efeb601e4bc78b89c6490505b8ac637e9f,10.00%,,Stable waEthUSDC/waEthUSDT/Aave Prime GHO,357,10.0
Mainnet,Lido wstETH wETH,0x4b891340b51889f438a03dc0e8aaafb0bc89e7a6,15.00%,,Stable waEthLidowstETH/waEthLidoWETH,159,15.0
Mainnet,Aave USDe USDT,0x95d260ac86b58d458187c819f87aad2c7c4203ef,3.00%,,Stable waEthUSDe/waEthUSDT,161,3.0
Mainnet ,csUSDL-csUSDC,0x5bbaed1fadc08c5fb3e4ae3c8848777e2da77103,10.00%,,Stable csUSDL/csUSDC,152,10.0
Mainnet,rstETH-Lido wstETH,0x04202b147eae6f5f50cbf72d0b8e9459c57b15e6,5.00%,,Stable waEthLidowstETH/rstETH,158,5.0
Mainnet,pxETH-gtWETHe,0x3a51bdf9013633ae934a3630db96f09ae4c5814a,5.00%,53.00%,Stable pxETH/gtWETHe,155,5.0
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,3.05%,Revenue,50/50 wstETH/ACX,31,3.05
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,11.67%,39.00%,ComposableStable WETH/wstETH,112,11.67
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,6.67%,,MetaStable rETH/WETH,149,6.67
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,1.92%,,ComposableStable rETH/weETH,87,1.92
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,4.21%,,ComposableStable ezETH/WETH,74,4.21
Mainnet,sdeUSD/deUSD,0xA00DB7d9c465e95e4AA814A9340B9A161364470a ,3.97%,,Gyroe deUSD/sdeUSD,128,3.97
Arbitrum,sUSDX/USDX,0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,4.18%,,a-ComposableStable sUSDX/USDX,204,4.18
Mainnet,STG/USDC,0x15C84754c7445D0DF6c613f1490cA07654347c1B,3.33%,,50/50 USDC/STG,28,3.33
Arbitrum,SUSDX / USDX,0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,3.00%,,a-ComposableStable sUSDX/USDX,204,3.0
Arbitrum,USDX/ USDT,0x5f244e8ac0FF2d2af14368fd8EFd1E508a50CF68,2.00%,,a-ComposableStable USDT/USDX,214,2.0
Arbitrum,tETH/wstETH,0x870D8Fd230a6261DB8d4C168038E55AE3a7Eb4B2,3.00%,,a-ComposableStable wstETH/tETH,220,3.0
