target,platform,amount,,
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,balancer,67554.8055,wstETH/weth,Ethereum
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,aura,24356.4945,wstETH/weth,Ethereum
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,31960.04175,rETH/weth,Ethereum
0x79eF6103A513951a3b25743DB509E267685726B7,aura,11523.00825,rETH/weth,Ethereum
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,balancer,0,RBN/USDC,Ethereum
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,aura,0,RBN/USDC,Ethereum
0x01A9502C11f411b494c62746D37e89d6f7078657,balancer,11540.83725,cbETH/wstETH,Ethereum
0x01A9502C11f411b494c62746D37e89d6f7078657,aura,2180.51275,cbETH/wstETH,Ethereum
0xA2a9Ebd6f4dEA4802083F2C8D08066A4e695e64B,balancer,3025.59075,sfrxETH,Ethereum
0xA2a9Ebd6f4dEA4802083F2C8D08066A4e695e64B,aura,1090.85925,sfrxETH,Ethereum
0xD973e86547e810117Db131B94708F429A463535E,balancer,0,wstETH/APE,Ethereum
0xD973e86547e810117Db131B94708F429A463535E,aura,0,wstETH/APE,Ethereum
0x623F3Dbc761B46F64aE7951700Dd7724cB7d6075,balancer,0,wstETH/bbeUSD,Ethereum
0x623F3Dbc761B46F64aE7951700Dd7724cB7d6075,aura,0,wstETH/bbeUSD,Ethereum
0xE96924D293b9e2961f9763cA058E389D27341D3d,balancer,0,rETH/bbeUSD,Ethereum
0xE96924D293b9e2961f9763cA058E389D27341D3d,aura,0,rETH/bbeUSD,Ethereum
0xf53f2fEE2A34f7f8d1BFe1B774A95Cc79C121B34,balancer,0,bbeUSD,Ethereum
0xf53f2fEE2A34f7f8d1BFe1B774A95Cc79C121B34,aura,0,bbeUSD,Ethereum
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,0,LDO/wstETH,Ethereum
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,0,LDO/wstETH,Ethereum
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,balancer,0,badger/reth,Ethereum
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,aura,0,badger/reth,Ethereum
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,0,reth/rpl,Ethereum
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,0,reth/rpl,Ethereum
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,balancer,3586.46925,RBN/USDC,Ethereum
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,aura,1293.08075,RBN/USDC,Ethereum
0x88D07558470484c03d3bb44c3ECc36CAfCF43253,balancer,1545.774239,tricrypto ,Polygon
0x88D07558470484c03d3bb44c3ECc36CAfCF43253,aura,557.3199636,tricrypto ,Polygon
0xA5A0B6598B90d214eAf4d7a6b72d5a89C3b9A72c,balancer,2717.226736,weth/matic/bal/usdc,Polygon
0xA5A0B6598B90d214eAf4d7a6b72d5a89C3b9A72c,aura,979.6803876,weth/matic/bal/usdc,Polygon
0x21a3De9292569F599e4cf83c741862705bf4f108,balancer,1368,wUSDR/USDC,Polygon
0x21a3De9292569F599e4cf83c741862705bf4f108,aura,0,wUSDR/USDC,Polygon
0x359EA8618c405023Fc4B98dAb1B01F373792a126,balancer,1989.18718,tricrypto,Arbitrum
0x359EA8618c405023Fc4B98dAb1B01F373792a12,aura,717.1899357,tricrypto,Arbitrum
0x519cCe718FCD11AC09194CFf4517F12D263BE067,balancer,12738.84636,wstETH/weth,Arbitrum
0x519cCe718FCD11AC09194CFf4517F12D263BE067,aura,4592.917396,wstETH/weth,Arbitrum
0x5b0C1b84566708Dd391Ae0FecE1a32e33682EE3d,balancer,338,bbrfUSD,Arbitrum
0x5b0C1b84566708Dd391Ae0FecE1a32e33682EE3d,aura,0,bbrfUSD,Arbitrum
