target,platform,amount
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,5392.65
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,6812.14
0x79eF6103A513951a3b25743DB509E267685726B7,aura,7856.93
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,9925.09
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,665.88
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,841.16
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,1309.53
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,1654.24
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,993.48
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,1254.99
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0.00
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,852.23
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,537.74
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,0.00
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,1466.80
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,1852.90
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,0
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,aura,5741.19
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,balancer,7252.42
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,1002.11
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,1265.90
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,7962.20
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,10058.06
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,1324.01
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,1672.53
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,709.84
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,896.68
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,6960.62
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,8792.83
0x274fDa0D445097DCcC55c7F7EF85bFd3877a132e,aura,1160.57
0x274fDa0D445097DCcC55c7F7EF85bFd3877a132e,balancer,1466.06
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,0
0x3b861B81B086Ef0CfFA0B00Cd2dDB3d545ec9B98,aura,833.80
0x3b861B81B086Ef0CfFA0B00Cd2dDB3d545ec9B98,balancer,1053.28
0x17748Aa07A6a1Be2ACE8bCC546919C006B40De34,aura,0
0x17748Aa07A6a1Be2ACE8bCC546919C006B40De34,balancer,0
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,3356.79
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,4240.38
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,0
0x00b9bcd17cB049739D25FD7f826caA2E23b05620,aura,604.10
0x00b9bcd17cB049739D25FD7f826caA2E23b05620,balancer,781.81
0xb6d101874B975083C76598542946Fe047f059066,aura,861.05
0xb6d101874B975083C76598542946Fe047f059066,balancer,1114.34
0x56c0626E6E3931af90EbB679A321225180d4b32B,aura,2472.41
0x56c0626E6E3931af90EbB679A321225180d4b32B,balancer,3199.72
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,aura,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,balancer,0
0x8135d6abfd42707a87a7b94c5cfa3529f9b432ad,aura,11112.35
0x8135d6abfd42707a87a7b94c5cfa3529f9b432ad,balancer,14381.23
0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,aura,0
0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,balancer,0
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,844.31
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,1092.68
0x25DDcad849de576c2A6c124984cE59e62739156D,aura,0
0x25DDcad849de576c2A6c124984cE59e62739156D,balancer,0
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,aura,1568.69
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,balancer,1982.17
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,aura,0.00
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,balancer,649.41
0x6054A132020f48012C63D2cb83813327378F9423,aura,0
0x6054A132020f48012C63D2cb83813327378F9423,balancer,0
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,848.26
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,1071.85
0x205dAdDbAd79EC680451DE55e2CC744ff8cbabd0,aura,0
0x205dAdDbAd79EC680451DE55e2CC744ff8cbabd0,balancer,0
0xefF145872582721e1b33931d61c3fE9C1ca66690,aura,1876.42
0xefF145872582721e1b33931d61c3fE9C1ca66690,balancer,2371.01
0xd75026F8723b94d9a360A282080492d905c6A558,aura,0.00
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,724.74
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,aura,856.90
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,balancer,0.00
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,1305.78
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,1601.05
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,aura,635.74
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,balancer,779.49
0x956074628A64a316086f7125074a8A52d3306321,aura,0.00
0x956074628A64a316086f7125074a8A52d3306321,balancer,571.58
0xB95397A17ACbb5824535ebE69Cd9DCF8fA7aFC50,aura,0
0xB95397A17ACbb5824535ebE69Cd9DCF8fA7aFC50,balancer,0
0x40B4C2E260f803F868053789bD4A6C7Edd1cdc39,aura,0
0x40B4C2E260f803F868053789bD4A6C7Edd1cdc39,balancer,0
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,4104.42
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,5186.29
0x255912af1bA318527eDC69b4D56152d8c133288E,aura,0
0x255912af1bA318527eDC69b4D56152d8c133288E,balancer,0
0x42a3290a65CA16Adaf161c6FfAfDBE0913A169F4,aura,0
0x42a3290a65CA16Adaf161c6FfAfDBE0913A169F4,balancer,0
0xF7d515DC47d5BD57786494628ed766d6bF31cd39,aura,1739.88
0xF7d515DC47d5BD57786494628ed766d6bF31cd39,balancer,2198.50
0x54f220a891f468629027C3Cc8A58722D4F576402,aura,690.19
0x54f220a891f468629027C3Cc8A58722D4F576402,balancer,872.12
0xce99399fb4De36056A6831b159572E271360ea40,aura,1788.90
0xce99399fb4De36056A6831b159572E271360ea40,balancer,2260.45
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,62759.47
