pool_id,bribe
0x0c8972437a38b389ec83d1e666b69b8a4fcf8bfd00000000000000000000049e,963.88
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,28488.879999999997
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,37940.2
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,3144.09
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,2228.1099999999997
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,10117.99
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,897.75
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,8000.17
0x451b0afd69ace11ec0ac339033d54d2543b088a80000000000000000000004d5,5138.43
0x4a2f6ae7f3e5d715689530873ec35593dc28951b000000000000000000000481,6219.2
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,8483.64
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,3277.3599999999997
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,3919.65
0x9fa6ab3d78984a69e712730a2227f20bcc8b5ad900000000000000000000001f,5089.29
0xade4a71bb62bec25154cfc7e6ff49a513b491e81000000000000000000000497,3275.0299999999997
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,818.34
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,11535.45
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,3018.45
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,668.38
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,8820.3
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,5107.389999999999
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,4274.98
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,601.08
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,3338.59
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,3704.6800000000003
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,7760.93
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,33069.03
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,3502.33
0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6000000000000000000000026,1181.87
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,7541.59
