target,platform,amount,rounds
0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,aura,2408.68,1
0x49f530b45ae792cdf5cbd5d25c5a9b9e59c6c3b8,aura,4721.01,2
0xb66e8d615f8109ca52d47d9cb65fc4edcf9c1342,aura,2505.02,1


