pool_id,bribe
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,23466.65
0x1ee442b5326009bb18f2f472d3e0061513d1a0ff000200000000000000000464,827.13
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,18527.43
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,8719.07
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,2587.92
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,1908.48
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,518.84
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,16801.97
0x4a2f6ae7f3e5d715689530873ec35593dc28951b000000000000000000000481,4872.67
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,741.55
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,12469.7
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,1927.67
0xade4a71bb62bec25154cfc7e6ff49a513b491e81000000000000000000000497,2015.72
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,1545.42
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,17802.03
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,1747.08
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,5863.8099999999995
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,4783.67
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,4497.879999
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,1754.46
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,2373.0
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,5085.93
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,6045.83
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,8387.55
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,2871.7799999999997
0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6000000000000000000000026,2160.3199999999997
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,3664.99
