chain,token_address,amount,amount_mantissa
arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,1328.311813475053847063,1328311813475053847063
arbitrum,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,614.353882131631176848,614353882131631176848
