pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,2868.2664,153.4916,66.7510,35.9428,0.0000,0.0000,0.0000,-102.6939,0,1739437838
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,2897.6042,142.8307,62.1148,33.4464,0.0000,0.0000,0.0000,-95.5612,0,1739332327
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,1.0196,141.7659,61.6517,33.1971,0.0000,0.0000,0.0000,-94.8487,0,1739452393
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1.0207,116.1180,50.4978,27.1911,0.0000,0.0000,0.0000,-77.6890,0,1739457764
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,1.0357,98.7279,42.9351,23.1189,0.0000,0.0000,0.0000,-66.0540,0,1739450453
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,2858.5918,84.7483,36.8556,19.8453,0.0000,0.0000,0.0000,-56.7010,0,1739122838
0x6ce1d1e46548ef657f8d7ebddfc4beadb04f72f30002000000000000000005a1,arbitrum,ECLP-wstETH-GYD,2762.1949,68.5728,29.8212,16.0576,0.0000,0.0000,0.0000,-45.8788,0,1739388200
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,1.0645,51.6396,22.4572,12.0923,0.0000,0.0000,0.0000,-34.5496,0,1739440543
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,1.0255,34.6818,15.0826,8.1214,0.0000,0.0000,0.0000,-23.2039,0,1739457283
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,1.0261,25.8716,11.2511,6.0583,0.0000,0.0000,0.0000,-17.3094,0,1739453475
0xff38cc0ce0de4476c5a3e78675b48420a851035b000200000000000000000593,arbitrum,ECLP-GHO-GYD-rh,1.0198,8.9596,3.8964,2.0981,0.0000,0.0000,0.0000,-5.9945,0,1739405425
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,1.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1738101085
