chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
arbitrum,7469.6089,7532.7762,0.0000,0.0000,0.0000,0.0000,17.50,82.50,0.00
base,2788.8802,2026.7757,513.5947,89.8791,423.7156,0.0000,17.50,82.50,0.00
gnosis,638.8373,316.0735,322.7638,56.4837,266.2802,0.0000,17.50,82.50,0.00
mainnet,14343.9441,10786.5500,2211.7742,387.0605,1824.7138,0.0000,17.50,82.50,0.00
optimism,337.3312,255.8940,0.0000,0.0000,0.0000,0.0000,17.50,82.50,50.00
plasma,489.7818,0,489.7818,85.7118,404.0699,0.0000,17.50,82.50,0.00
