pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,fees_to_beets,total_incentives,redirected_incentives,last_join_exit,is_alliance,is_partner
0x870c0af8a1af0b58b4b0bd31ce4fe72864ae45be,optimism,Balancer rETH-Aave wETH,0.0000,255.8940,107.9460,35.4198,25.2998,0.0000,-118.0659,0,False,False
0x85b2b559bc2d21104c4defdd6efca8a20343361d,mainnet,Aave GHO/USDT/USDC,0.0000,4916.7112,614.5889,860.4245,0.0000,3583.8501,142.1523,0,False,False
0x1ea5870f7c037930ce1d5d8d9317c670e89e13e3,mainnet,rETH-waEthWETH,0.0000,1339.5157,167.4395,234.4152,0.0000,976.3892,38.7282,0,False,False
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Surge Fluid wstETH-wETH,0.0000,1296.6840,162.0855,226.9197,0.0000,718.2489,37.4898,0,True,True
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,1092.4636,136.5579,191.1811,0.0000,796.3099,31.5854,0,False,False
0xe2332649955c7c98389480ab46dd4cb6755ac703,mainnet,75SDEX25AaveLidoETH,0.0000,948.9927,118.6241,166.0737,0.0000,691.7322,27.4373,0,False,False
0xdaba3d8ccf79ef289a7e2dbce51871b39ea445a2,mainnet,80TREE-20AavePrimeWETH,0.0000,764.3378,95.5422,133.7591,0.0000,557.1350,22.0986,0,False,False
0x57c23c58b1d8c3292c15becf07c62c5c52457a42,mainnet,osETH-waWETH,0.0000,311.7016,38.9627,54.5478,0.0000,0.0000,-218.1911,0,False,False
0xc4ce391d82d164c166df9c8336ddf84206b2f812,mainnet,Aave Lido wETH-wstETH,0.0000,64.2334,8.0292,11.2408,0.0000,0.0000,-44.9634,0,False,False
0x114907c2a07978c38ebb9f9f6a5261a846b79521,mainnet,aUSDC-USP,0.0000,30.5883,3.8235,5.3530,0.0000,0.0000,-21.4118,0,False,False
0x6c5972311191097d002e804a9bf97c96c54059ed,mainnet,Surge USDf-aGHO,0.0000,21.3218,2.6652,3.7313,0.0000,0.0000,-14.9252,0,False,False
0x6e6bb18449fcf15b79efa2cfa70acf7593088029,gnosis,waWstETH-waWETH,0.0000,304.6011,213.9823,90.6188,0.0000,0.0000,-213.2208,0,False,False
0x272d6be442e30d7c87390edeb9b96f1e84cecd8d,gnosis,50waWstETH-50waGNO,0.0000,11.4724,8.0594,3.4130,0.0000,0.0000,-8.0307,0,False,False
0x7ab124ec4029316c2a42f713828ddf2a192b36db,base,Aave USDC-Aave GHO,0.0000,1556.8716,194.6090,272.4525,0.0000,1418.7430,328.9328,0,False,False
0x9ab907fb3e098103ca048ad26e501bf7b3dfa3eb,base,Surge Aave EURC-GHO,0.0000,276.9673,34.6209,48.4693,0.0000,0.0000,-193.8771,0,False,False
0xb7b8b3afc010169779c5c2385ec0eb0477fe3347,base,Balancer rETH-Aave wETH,0.0000,192.9367,24.1171,33.7639,0.0000,0.0000,-135.0557,0,False,False
0xa978cc348a0b5de8bd564a1d8fe437787fd12664,arbitrum,EURe-Aave USDC,0.0000,6109.4146,743.0129,1040.2180,0.0000,4281.9336,121.0614,0,False,False
0x19b001e6bc2d89154c18e2216eec5c8c6047b6d8,arbitrum,Aave GHO/USDT/USDC,0.0000,1210.3904,147.2049,206.0868,0.0000,848.3319,23.9846,0,False,False
0x5418a64e0cdb20548acb394f5d00a089baf02161,arbitrum,Balancer rETH-Aave wETH,0.0000,144.5701,17.5823,24.6152,0.0000,0.0000,-98.4608,0,False,False
0xc072880e1bc0bcddc99db882c7f3e7a839281cf4,arbitrum,Aave wstETH-wETH,0.0000,44.7368,5.4408,7.6171,0.0000,0.0000,-30.4684,0,False,False
0x10f9e54aeea2fefa124238087dcfd919ba32f14d,arbitrum,Surge eBTC-Aave WBTC,0.0000,23.6643,2.8780,4.0292,0.0000,0.0000,-16.1168,0,False,False
