label,gauge_address,weight
weETH/ezETH/rswETH,0x253ed65fff980aee7e94a0dc57be304426048b35,0.025
svETH-wstETH-BPT,0xd98ed0426d18b115d6388923803e33ad8aaf11f8,0.024
weETH/rETH,0xc859bf9d7b8c557bbd229565124c2c09269f3aef,0.05
ezETH-WETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,0.146
B-rETH-STABLE,0x79eF6103A513951a3b25743DB509E267685726B7,0.03
