label,gauge_address,weight
sUSDe/USDC,0x6a8b6f0177e273600c6bae84da3a9a3c8b29d778,0.05
pufETH/wstETH,0x0b9ea598757c7d03fb1937cc16bdd2c9d416ff80,0.05
sdai/aUSDC,0x39a6d33557d31151f88d0b12ab2d2fb659c238a1,0.05
weETH/WETH,0x2280b8c8b401ca54ebf15736b77e1d3bf4924a9d,0.1
jitoSOL/wstETH,0x6bf6fb94027fde38b40c7adc154aa32c36174c8e,0.05
