FILENAME: `MaxiOps/feeDistributions/2026-01-29/2026-01-29.json`
MULTISIG: `multisigs/fees (mainnet:0x7c68c42De679ffB0f16216154C996C354cF1161B)`
COMMIT: `cbced51dafe4b74461ef6d733d5e505e624d0c47`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/51fe52eb-7a32-4981-b5ae-3053a48f2a3e)

```
+----------+-------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------+-----+----------+
| function | token_symbol                                    | recipient                                                                    | amount                                           | bip | tx_index |
+----------+-------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------+-----+----------+
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/balancer_onchain_ltd:0x16b0056636Fcc85f92C49cD49a24bc519d4A1941    | 7682.095404 (RAW: 7682095404)                    | N/A |    0     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/beets_treasury:0xea06e1b4259730724885a39CE3ca670eFB020E26          | 236.768956 (RAW: 236768956)                      | N/A |    1     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/ezkl_fee_manager:0xB7aadD330A64088A85e500874DCDcFB7F253fEB4        | 323.589895 (RAW: 323589895)                      | N/A |    2     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | maxiKeepers/veBalFeeInjector:0x8AD2512819A7eae1dd398973EFfaE48dafBe8255      | 20949.9134 (RAW: 20949913400)                    | N/A |    3     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/alliance_program/rocket:0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9 | 322.310857 (RAW: 322310857)                      | N/A |    4     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/alliance_program/lido:0x87D93d9B2C672bf9c9642d853a8682546a5012B5   | 226.919697 (RAW: 226919697)                      | N/A |    5     |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/quant_amm_fees:0xd785201fd2D9be7602F6682296Bb415530C027Ef          | 30.83866 (RAW: 30838660)                         | N/A |    6     |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | maxiKeepers/veBalFeeInjector:0x8AD2512819A7eae1dd398973EFfaE48dafBe8255      | 2181.2439537715554 (RAW: 2181243953771555364724) | N/A |    7     |
+----------+-------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------+-----+----------+
```
FILENAME: `MaxiOps/feeDistributions/2026-01-29/2026-01-29.json`
