Chain,Label,Gauge Address,Allocation %,Unnamed: 4,snapshot_label,snapshot_index,share
Mainnet,Aave USDC USDT,0xeec405b834c90b59122bcc2357f27110b2adb4b7,10.00%,Core Liquidity,Stable waEthUSDC/waEthUSDT,159,10.0
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,10.00%,,ComposableStable USDT/USDC/GHO,103,10.0
Mainnet,Lido wstETH wETH,0x4b891340b51889f438a03dc0e8aaafb0bc89e7a6,15.00%,,Stable waEthLidoWETH/waEthLidowstETH,158,15.0
Mainnet,Aave USDe USDT,0x95d260ac86b58d458187c819f87aad2c7c4203ef,5.00%,,Stable waEthUSDe/waEthUSDT,160,5.0
Mainnet,50wstETH/ACX,0xf7b0751fea697cf1a541a5f57d11058a8fb794ee,4.07%,Revenue ,50/50 ACX/wstETH,8,4.07
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,9.13%,49.00%,ComposableStable wstETH/WETH,124,9.13
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,8.83%,,MetaStable WETH/rETH,152,8.83
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,1.92%,,ComposableStable weETH/rETH,107,1.92
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,8.27%,,ComposableStable ezETH/WETH,73,8.27
Mainnet,sdeUSD/deUSD,0xA00DB7d9c465e95e4AA814A9340B9A161364470a ,5.18%,,Gyroe sdeUSD/deUSD,139,5.18
Base,rETH/wETH,0xd75026F8723b94d9a360A282080492d905c6A558,1.90%,,b-ComposableStable WETH/rETH,338,1.9
Mainnet,sUSDe-USDC,0x84f7f5cd2218f31b750e7009bb6fd34e0b945dac,1.82%,,ComposableStable sUSDe/USDC,95,1.82
Mainnet,STG/USDC,0x15C84754c7445D0DF6c613f1490cA07654347c1B,7.88%,,50/50 USDC/STG,30,7.88
Arbitrum,SUSDX / USDX,0x0d1b58fB1fC10F2160178DE1eAE2d520335ee372,5.00%,,a-ComposableStable sUSDX/USDX,205,5.0
Arbitrum,USDX/ USDT,0x5f244e8ac0FF2d2af14368fd8EFd1E508a50CF68,3.00%,,a-ComposableStable USDX/USDT,212,3.0
Mainnet,eBTC / wBTC,0x5d0aa3b7f4429e999c95d392e6c50c6555cd7816,3.00%,,ComposableStable WBTC/eBTC,106,3.0
