,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,13513.70,5980.3778,3220.2034,9715.9865,9715.9866,0.0000,515.4053,0,2024-05-23 09:19:15+00:00
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,2139.86,946.9776,509.9110,1538.5016,0,1538.5016,81.6130,0,2024-05-23 07:10:20+00:00
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,2133.53,944.1763,508.4026,1533.9506,0,1533.9505,81.3717,0,2024-05-23 08:25:26+00:00
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,1849.71,818.5741,440.7707,1329.8916,0,1329.8917,70.5469,0,2024-05-23 08:06:00+00:00
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1227.13,543.0564,292.4150,882.2736,0,882.2735,46.8022,0,2024-05-17 16:53:36+00:00
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,1017.16,450.1359,242.3809,731.3107,0,731.3106,38.7940,0,2024-05-23 08:20:20+00:00
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,987.03,436.8021,235.2011,709.6480,0,709.6480,37.6448,0,2024-05-23 00:51:08+00:00
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,892.13,394.8049,212.5872,641.4174,0,641.4175,34.0253,0,2024-05-23 06:23:12+00:00
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL-BPT,502.61,222.4260,119.7678,0,0,0,-342.1938,0,2024-05-22 22:20:43+00:00
0xfb2f7ed572589940e24c5711c002adc59d5e79ef000000000000000000000535,arbitrum,jitoSOL/wSOL,382.38,169.2192,91.1180,0,0,0,-260.3372,0,2024-05-20 00:32:49+00:00
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,363.63,160.9215,86.6500,0,0,0,-247.5715,0,2024-05-22 20:18:37+00:00
0x260dbd54d87a10a0fc9d08622ebc969a3bf4e6bb000200000000000000000536,arbitrum,jitoSOL/wstETH,46.68,20.6579,11.1235,0,0,0,-31.7813,0,2024-05-23 09:03:21+00:00
0x451b0afd69ace11ec0ac339033d54d2543b088a80000000000000000000004d5,arbitrum,plsRDNT-Stable,35.72,15.8076,8.5118,0,0,0,-24.3194,0,2024-05-22 16:26:29+00:00
0x9f8ed1acfe0c863381b9081aff2144fc867aa7730002000000000000000004d4,arbitrum,50ANKR/50ankrETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-01-02 18:27:12+00:00
0xa1a8bf131571a2139feb79401aa4a2e9482df6270002000000000000000004b4,arbitrum,50wstETH/50-4Pool,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-02-16 15:49:05+00:00
0x4b3af34eb1135d59df8b9cdc2ff07d30d05334c400000000000000000000050d,arbitrum,weETH/rETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-04-07 13:56:07+00:00
0xca8ecd05a289b1fbc2e0eaec07360c4bfec07b6100020000000000000000051d,arbitrum,2CLP-AUSDC-USDC,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-05-23 07:57:21+00:00
0x14abd18d1fa335e9f630a658a2799b33208763fa00020000000000000000051f,arbitrum,2CLP-AUSDT-USDT,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-05-23 06:04:42+00:00
0x2f0cdf8596be980ef24924ca7bf54e630ca526b2000000000000000000000529,arbitrum,sUSDe/USDC,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-04-07 19:43:13+00:00
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-05-07 15:42:14+00:00
