FILENAME: `BIPs/2025-W27/BIP-849-gauge-kills-q2-2025.json`
MULTISIG: `multisigs/dao (mainnet:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f)`
COMMIT: `abc99159acc4e6062278295e785269b96c1fa2b5`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/aab75323-a64b-4ece-b9d3-947c2757a317)

```
+---------------+-----------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+-------------+---------------+---------+----------+
| function      | entrypoint                                                                                                      | target                                                                                            | selector    | parsed_inputs |   bip   | tx_index |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xeaf1eef5814d9be44d0dbfb54c7773844339b7f8 (root_gauges/wstETH/sfrxETH-arbitrum-root-eaf1)        | killGauge() |               | BIP-849 |    17    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x03ac2920378a51d6ca78813b1d7578dab08d3760 (gauges/trenSTETH-gauge-03ac)                          | killGauge() |               | BIP-849 |    18    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x4a7475d32ccd29edd65b2a1712b091aa741ba9bb (gauges/ECLP-GHO-GYD-gauge-4a74)                       | killGauge() |               | BIP-849 |    19    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x2fa29bbfd19314b3faf170dc7826ef69372203a6 (gauges/50APW-50WETH-gauge-2fa2)                       | killGauge() |               | BIP-849 |    20    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xa2f8bd6b95a0cb9094206075504cd0ed1cc717be (gauges/ECLP-GHO-USDC-2-gauge-a2f8)                    | killGauge() |               | BIP-849 |    21    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xbc5e2f2945ff4a6568c4dbd3aa15d9e8ffdf0125 (root_gauges/20GYD-80D2D-arbitrum-root-bc5e)           | killGauge() |               | BIP-849 |    22    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x1a8f7747ca103d229d7bdff5f89c176b95faf301 (root_gauges/RSB-optimism-root-1a8f)                   | killGauge() |               | BIP-849 |    23    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xbb034e493ebf45f874e038ae76576df9cc1137e5 (root_gauges/ECLP-AUSDC-AUSDT-arbitrum-root-bb03)      | killGauge() |               | BIP-849 |    24    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x6a58e7c904ecf991a3183d28fc73be90732b7a30 (gauges/qETH/WETH-gauge-6a58)                          | killGauge() |               | BIP-849 |    25    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xd103dd49b8051a09b399a52e9a8ab629392de2fb (root_gauges/ECLP-WMATIC-stMATIC-polygon-root-d103)    | killGauge() |               | BIP-849 |    26    |
